nome_algoritmo,cenario,tamanho_amostra,tempo_execucao_microsegundos,processador,ram,sistema_operacional,Intervalos de confiança,Média,Desvio padrão
Shell Sort,1,100000,6,AMD Ryzen 5 5500,16,Windows 10,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,38,AMD Ryzen 5 5500,16,Windows 10,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,25549,AMD Ryzen 5 5500,16,Windows 10,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,3,AMD Ryzen 5 5500,16,Windows 10,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,2,AMD Ryzen 5 5500,16,Windows 10,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,69,AMD Ryzen 5 5500,16,Windows 10,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,4,AMD Ryzen 5 5500,16,Windows 10,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,6,AMD Ryzen 5 5500,16,Windows 10,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2774,AMD Ryzen 5 5500,16,Windows 10,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,5,AMD Ryzen 5 5500,16,Windows 10,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,24,AMD Ryzen 5 5500,16,Windows 10,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,65432,AMD Ryzen 5 5500,16,Windows 10,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,13,AMD Ryzen 5 5500,16,Windows 10,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,9,AMD Ryzen 5 5500,16,Windows 10,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,6,AMD Ryzen 5 5500,16,Windows 10,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,11,AMD Ryzen 5 5500,16,Windows 10,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,67,AMD Ryzen 5 5500,16,Windows 10,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,29,AMD Ryzen 5 5500,16,Windows 10,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,60,AMD Ryzen 5 5500,16,Windows 10,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,5,AMD Ryzen 5 5500,16,Windows 10,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,4,AMD Ryzen 5 5500,16,Windows 10,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,8,AMD Ryzen 5 5500,16,Windows 10,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,33,AMD Ryzen 5 5500,16,Windows 10,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,32,AMD Ryzen 5 5500,16,Windows 10,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,82,AMD Ryzen 5 5500,16,Windows 10,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,209,AMD Ryzen 5 5500,16,Windows 10,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,185,AMD Ryzen 5 5500,16,Windows 10,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,911,AMD Ryzen 5 5500,16,Windows 10,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,58,AMD Ryzen 5 5500,16,Windows 10,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,5,AMD Ryzen 5 5500,16,Windows 10,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4649,AMD Ryzen 5 5500,16,Windows 10,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,2,AMD Ryzen 5 5500,16,Windows 10,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,55,AMD Ryzen 5 5500,16,Windows 10,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,99563,AMD Ryzen 5 5500,16,Windows 10,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,7,AMD Ryzen 5 5500,16,Windows 10,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,31,AMD Ryzen 5 5500,16,Windows 10,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,4,AMD Ryzen 5 5500,16,Windows 10,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2965,AMD Ryzen 5 5500,16,Windows 10,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,2,AMD Ryzen 5 5500,16,Windows 10,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,21,AMD Ryzen 5 5500,16,Windows 10,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,72605,AMD Ryzen 5 5500,16,Windows 10,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,10,AMD Ryzen 5 5500,16,Windows 10,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,10,AMD Ryzen 5 5500,16,Windows 10,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,6,AMD Ryzen 5 5500,16,Windows 10,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,12,AMD Ryzen 5 5500,16,Windows 10,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,54,AMD Ryzen 5 5500,16,Windows 10,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,29,AMD Ryzen 5 5500,16,Windows 10,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,62,AMD Ryzen 5 5500,16,Windows 10,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,3,AMD Ryzen 5 5500,16,Windows 10,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,53,AMD Ryzen 5 5500,16,Windows 10,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,27,AMD Ryzen 5 5500,16,Windows 10,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,59,AMD Ryzen 5 5500,16,Windows 10,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,201,AMD Ryzen 5 5500,16,Windows 10,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,196,AMD Ryzen 5 5500,16,Windows 10,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,931,AMD Ryzen 5 5500,16,Windows 10,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,53,AMD Ryzen 5 5500,16,Windows 10,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,36,AMD Ryzen 5 5500,16,Windows 10,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,3,AMD Ryzen 5 5500,16,Windows 10,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4098,AMD Ryzen 5 5500,16,Windows 10,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,1,AMD Ryzen 5 5500,16,Windows 10,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,30,AMD Ryzen 5 5500,16,Windows 10,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,94363,AMD Ryzen 5 5500,16,Windows 10,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,12,AMD Ryzen 5 5500,16,Windows 10,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,27,AMD Ryzen 5 5500,16,Windows 10,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,6,AMD Ryzen 5 5500,16,Windows 10,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,3004,AMD Ryzen 5 5500,16,Windows 10,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,2,AMD Ryzen 5 5500,16,Windows 10,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,39,AMD Ryzen 5 5500,16,Windows 10,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,66389,AMD Ryzen 5 5500,16,Windows 10,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,11,AMD Ryzen 5 5500,16,Windows 10,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,10,AMD Ryzen 5 5500,16,Windows 10,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,6,AMD Ryzen 5 5500,16,Windows 10,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,13,AMD Ryzen 5 5500,16,Windows 10,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,61,AMD Ryzen 5 5500,16,Windows 10,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,31,AMD Ryzen 5 5500,16,Windows 10,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,63,AMD Ryzen 5 5500,16,Windows 10,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,4,AMD Ryzen 5 5500,16,Windows 10,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,29,AMD Ryzen 5 5500,16,Windows 10,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,21,AMD Ryzen 5 5500,16,Windows 10,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,63,AMD Ryzen 5 5500,16,Windows 10,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,211,AMD Ryzen 5 5500,16,Windows 10,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,193,AMD Ryzen 5 5500,16,Windows 10,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,795,AMD Ryzen 5 5500,16,Windows 10,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,37,AMD Ryzen 5 5500,16,Windows 10,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,3,AMD Ryzen 5 5500,16,Windows 10,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,3843,AMD Ryzen 5 5500,16,Windows 10,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,1,AMD Ryzen 5 5500,16,Windows 10,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,24,AMD Ryzen 5 5500,16,Windows 10,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,95333,AMD Ryzen 5 5500,16,Windows 10,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,7,AMD Ryzen 5 5500,16,Windows 10,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,28,AMD Ryzen 5 5500,16,Windows 10,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,3,AMD Ryzen 5 5500,16,Windows 10,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2753,AMD Ryzen 5 5500,16,Windows 10,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,2,AMD Ryzen 5 5500,16,Windows 10,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,35,AMD Ryzen 5 5500,16,Windows 10,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,66913,AMD Ryzen 5 5500,16,Windows 10,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,11,AMD Ryzen 5 5500,16,Windows 10,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,10,AMD Ryzen 5 5500,16,Windows 10,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,7,AMD Ryzen 5 5500,16,Windows 10,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,12,AMD Ryzen 5 5500,16,Windows 10,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,74,AMD Ryzen 5 5500,16,Windows 10,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,32,AMD Ryzen 5 5500,16,Windows 10,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,69,AMD Ryzen 5 5500,16,Windows 10,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,3,AMD Ryzen 5 5500,16,Windows 10,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,35,AMD Ryzen 5 5500,16,Windows 10,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,23,AMD Ryzen 5 5500,16,Windows 10,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,71,AMD Ryzen 5 5500,16,Windows 10,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,218,AMD Ryzen 5 5500,16,Windows 10,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,194,AMD Ryzen 5 5500,16,Windows 10,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,819,AMD Ryzen 5 5500,16,Windows 10,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,40,AMD Ryzen 5 5500,16,Windows 10,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,4,AMD Ryzen 5 5500,16,Windows 10,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4106,AMD Ryzen 5 5500,16,Windows 10,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,2,AMD Ryzen 5 5500,16,Windows 10,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,34,AMD Ryzen 5 5500,16,Windows 10,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,94232,AMD Ryzen 5 5500,16,Windows 10,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,7,AMD Ryzen 5 5500,16,Windows 10,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,39,AMD Ryzen 5 5500,16,Windows 10,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,6,AMD Ryzen 5 5500,16,Windows 10,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2963,AMD Ryzen 5 5500,16,Windows 10,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,2,AMD Ryzen 5 5500,16,Windows 10,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,32,AMD Ryzen 5 5500,16,Windows 10,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,66636,AMD Ryzen 5 5500,16,Windows 10,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,11,AMD Ryzen 5 5500,16,Windows 10,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,8,AMD Ryzen 5 5500,16,Windows 10,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,5,AMD Ryzen 5 5500,16,Windows 10,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,11,AMD Ryzen 5 5500,16,Windows 10,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,67,AMD Ryzen 5 5500,16,Windows 10,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,32,AMD Ryzen 5 5500,16,Windows 10,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,63,AMD Ryzen 5 5500,16,Windows 10,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,3,AMD Ryzen 5 5500,16,Windows 10,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,24,AMD Ryzen 5 5500,16,Windows 10,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,20,AMD Ryzen 5 5500,16,Windows 10,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,79,AMD Ryzen 5 5500,16,Windows 10,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,233,AMD Ryzen 5 5500,16,Windows 10,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,186,AMD Ryzen 5 5500,16,Windows 10,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,802,AMD Ryzen 5 5500,16,Windows 10,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,37,AMD Ryzen 5 5500,16,Windows 10,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,5,AMD Ryzen 5 5500,16,Windows 10,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,3898,AMD Ryzen 5 5500,16,Windows 10,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,2,AMD Ryzen 5 5500,16,Windows 10,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,22,AMD Ryzen 5 5500,16,Windows 10,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,95955,AMD Ryzen 5 5500,16,Windows 10,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,6,AMD Ryzen 5 5500,16,Windows 10,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,26,AMD Ryzen 5 5500,16,Windows 10,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,3,AMD Ryzen 5 5500,16,Windows 10,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2871,AMD Ryzen 5 5500,16,Windows 10,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,2,AMD Ryzen 5 5500,16,Windows 10,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,31,AMD Ryzen 5 5500,16,Windows 10,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,65788,AMD Ryzen 5 5500,16,Windows 10,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,10,AMD Ryzen 5 5500,16,Windows 10,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,10,AMD Ryzen 5 5500,16,Windows 10,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,5,AMD Ryzen 5 5500,16,Windows 10,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,10,AMD Ryzen 5 5500,16,Windows 10,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,66,AMD Ryzen 5 5500,16,Windows 10,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,32,AMD Ryzen 5 5500,16,Windows 10,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,62,AMD Ryzen 5 5500,16,Windows 10,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,1,AMD Ryzen 5 5500,16,Windows 10,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,24,AMD Ryzen 5 5500,16,Windows 10,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,21,AMD Ryzen 5 5500,16,Windows 10,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,92,AMD Ryzen 5 5500,16,Windows 10,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,257,AMD Ryzen 5 5500,16,Windows 10,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,194,AMD Ryzen 5 5500,16,Windows 10,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,832,AMD Ryzen 5 5500,16,Windows 10,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,39,AMD Ryzen 5 5500,16,Windows 10,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,10,AMD Ryzen 5 5500,16,Windows 10,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4094,AMD Ryzen 5 5500,16,Windows 10,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,1,AMD Ryzen 5 5500,16,Windows 10,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,29,AMD Ryzen 5 5500,16,Windows 10,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,94207,AMD Ryzen 5 5500,16,Windows 10,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,7,AMD Ryzen 5 5500,16,Windows 10,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,27,AMD Ryzen 5 5500,16,Windows 10,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,6,AMD Ryzen 5 5500,16,Windows 10,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,3059,AMD Ryzen 5 5500,16,Windows 10,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,2,AMD Ryzen 5 5500,16,Windows 10,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,36,AMD Ryzen 5 5500,16,Windows 10,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,68214,AMD Ryzen 5 5500,16,Windows 10,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,10,AMD Ryzen 5 5500,16,Windows 10,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,AMD Ryzen 5 5500,16,Windows 10,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,9,AMD Ryzen 5 5500,16,Windows 10,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,6,AMD Ryzen 5 5500,16,Windows 10,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,11,AMD Ryzen 5 5500,16,Windows 10,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,78,AMD Ryzen 5 5500,16,Windows 10,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,31,AMD Ryzen 5 5500,16,Windows 10,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,61,AMD Ryzen 5 5500,16,Windows 10,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,AMD Ryzen 5 5500,16,Windows 10,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,1,AMD Ryzen 5 5500,16,Windows 10,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,3,AMD Ryzen 5 5500,16,Windows 10,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,27,AMD Ryzen 5 5500,16,Windows 10,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,24,AMD Ryzen 5 5500,16,Windows 10,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,64,AMD Ryzen 5 5500,16,Windows 10,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,258,AMD Ryzen 5 5500,16,Windows 10,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,195,AMD Ryzen 5 5500,16,Windows 10,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,789,AMD Ryzen 5 5500,16,Windows 10,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,38,AMD Ryzen 5 5500,16,Windows 10,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,AMD Ryzen 5 5500,16,Windows 10,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,5,AMD Ryzen 5 5500,16,Windows 10,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,3848,AMD Ryzen 5 5500,16,Windows 10,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,2,AMD Ryzen 5 5500,16,Windows 10,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,20,AMD Ryzen 5 5500,16,Windows 10,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,94856,AMD Ryzen 5 5500,16,Windows 10,103651.468 a 114622.9,109137.184,30987.111
